      Address        Name         Hex         Decimal                       Binary                       Char  
01DA              OC8RS     0x0000        0             00000000 00000000                             '..'     
01DC              OC8R      0x0000        0             00000000 00000000                             '..'     
01DE              OC8TMR    0x0000        0             00000000 00000000                             '..'     
01E0              OC9CON1   0x0000        0             00000000 00000000                             '..'     
01E2              OC9CON2   0x0000        0             00000000 00000000                             '..'     
01E4              OC9RS     0x0000        0             00000000 00000000                             '..'     
01E6              OC9R      0x0000        0             00000000 00000000                             '..'     
01E8              OC9TMR    0x0000        0             00000000 00000000                             '..'     
0200              I2C1RCV   0x0000        0             00000000 00000000                             '..'     
0202              I2C1TRN   0x00FF        255           00000000 11111111                             '.?'     
0204              I2C1BRG   0x0000        0             00000000 00000000                             '..'     
0206              I2C1CON   0x1000        4096          00010000 00000000                             '..'     
0208              I2C1STAT  0x0000        0             00000000 00000000                             '..'     
020A              I2C1ADD   0x0000        0             00000000 00000000                             '..'     
020C              I2C1MSK   0x0000        0             00000000 00000000                             '..'     
0210              I2C2RCV   0x0000        0             00000000 00000000                             '..'     
0212              I2C2TRN   0x00FF        255           00000000 11111111                             '.?'     
0214              I2C2BRG   0x0000        0             00000000 00000000                             '..'     
0216              I2C2CON   0x1000        4096          00010000 00000000                             '..'     
0218              I2C2STAT  0x0000        0             00000000 00000000                             '..'     
021A              I2C2ADD   0x0000        0             00000000 00000000                             '..'     
021C              I2C2MSK   0x0000        0             00000000 00000000                             '..'     
0220              U1MODE    0x0000        0             00000000 00000000                             '..'     
0222              U1STA     0x0110        272           00000001 00010000                             '..'     
0224              U1TXREG   0x0000        0             00000000 00000000                             '..'     
0226              U1RXREG   0x0000        0             00000000 00000000                             '..'     
0228              U1BRG     0x0000        0             00000000 00000000                             '..'     
0230              U2MODE    0x0000        0             00000000 00000000                             '..'     
0232              U2STA     0x0110        272           00000001 00010000                             '..'     
0234              U2TXREG   0x0000        0             00000000 00000000                             '..'     
0236              U2RXREG   0x0000        0             00000000 00000000                             '..'     
0238              U2BRG     0x0000        0             00000000 00000000                             '..'     
0240              SPI1STAT  0x0000        0             00000000 00000000                             '..'     
0242              SPI1CON1  0x0000        0             00000000 00000000                             '..'     
0244              SPI1CON2  0x0000        0             00000000 00000000                             '..'     
0248              SPI1BUF   0x0000        0             00000000 00000000                             '..'     
0250              U3MODE    0x0000        0             00000000 00000000                             '..'     
0252              U3STA     0x0110        272           00000001 00010000                             '..'     
0254              U3TXREG   0x0000        0             00000000 00000000                             '..'     
0256              U3RXREG   0x0000        0             00000000 00000000                             '..'     
0258              U3BRG     0x0000        0             00000000 00000000                             '..'     
0260              SPI2STAT  0x0000        0             00000000 00000000                             '..'     
0262              SPI2CON1  0x0000        0             00000000 00000000                             '..'     
0264              SPI2CON2  0x0000        0             00000000 00000000                             '..'     
0268              SPI2BUF   0x0000        0             00000000 00000000                             '..'     
0270              I2C3RCV   0x0000        0             00000000 00000000                             '..'     
0272              I2C3TRN   0x00FF        255           00000000 11111111                             '.?'     
0274              I2C3BRG   0x0000        0             00000000 00000000                             '..'     
0276              I2C3CON   0x1000        4096          00010000 00000000                             '..'     
0278              I2C3STAT  0x0000        0             00000000 00000000                             '..'     
027A              I2C3ADD   0x0000        0             00000000 00000000                             '..'     
027C              I2C3MSK   0x0000        0             00000000 00000000                             '..'     
0280              SPI3STAT  0x0000        0             00000000 00000000                             '..'     
0282              SPI3CON1  0x0000        0             00000000 00000000                             '..'     
